CARD_ID,CARD_ID_SM3
241344214938517012,9bfb688fb333a06d5c6f351752c13bfe9dc11df810372a5209ea0fcb387dbd45
726476565133730012,f399c0842a984e16aba5e26b179579e053809c359740003b2daabf1ba1843b57
629858023581240419,bc09bd73d7d23340ae6eeef54d47d196762d901b64f77ebd247ce1a10da6b28e
786674104035043186,b21977106aaf31ceaa7bb65a8363fcf8a4784a02dd6e1ae4ed4a212e2ec3cb6b
582853842835307311,2ec0812e3a153d9e323d397c72e30af2a9b540dc496a09b12b75476bf7f50243
146865310432320479,47dab313ecab40f26fc030c1eef57085d440c6577783b826ed559cf9a1713941
570105696483805753,916d76c0a1a338d2ca5a02dc00d3182d682630873e88f2975656dbd58820fa6b
135268717901932772,c64d813b19335dbd348abf08a50f89a205ba1ddc7e7d417d5ec438077b117898
343214476500015715,cb7dec4ab39b2b313c8d309a9c56e659504b4da474a669d413c6722cdf608f29
175655003613109163,1c94ef920b889365f479770dae3d95db0f503d0f6c2467b465203a03903e6aad
697801153137331259,6293cadf260222d9675efaaa40c6ccd7a370a3310743e2523908d21f5ef6881d
892212781649223523,940d39b50f33e9230ec07c090bfeed3853c246c27712295ef035d2b5320fca1b
347593200195143930,ac55650db889a0a7c01674fe6a591fd911cf96a538d558de29432fe62965f955
015249581654222862,c7718591b621f348a90f31b6e0543407811b601ddfc0091f2c4e914d5843a72c
170339923458174442,44bb4dc7bfb45f81f2995d898a51e99e4ffde9fc4c5d9dc168b766e706836b37
414001969616124078,77ec6e3226922231ae4450fdfd0bea8b415f0c3a47ecabaef154d2ade8eb106b
119297202685836300,175c6c1f70602c53cd331d12ccf096df838e2fd6cc11b7996085c517584fbd6f
863791811955510977,09b09e3074d53a42919b9381be05e85ec093ef971836447fc90b4ef793a0f470
439855122211314089,a38d00b3662cab3f1200ab764426a10eeee68421f52a0f004c989be0d1d4f480
621909594268364618,3e694c52e95103e8e0b4879fdb3affb9c9bfde2996cd30530d955c68cfd0e124
560892772980542972,741f6e10d4ba03f062df21b516fdb2a3bb42232ec14ad9251fe9d0bc331fe8d5
232325085466475103,3b9e8be791de3e49f02ee94bf2e349de564ce87d92376efa14c7132f21af2108
303990052272213117,531350be28a7eb54c974d09875ef0f9816c9d7bcf8b1018827fd16b03a440b4f
584934709917413660,e855bef2d7d8cf62463d8fa365db707ba2dde89d51fc6b470afc49e32af819f4
796700003544133796,7683492bb25fe8e74ea8e44d9c464bb1ebcec87691b3caee0c785422c9db7620
